#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftlänge [m];Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
1;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2a;11.87;6.0;23.06;20.85;18.0;0.2;0.22;0.64;0.11;20.46;
2;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2a;5.77;6.0;26.39;24.8;23.12;0.28;0.31;0.35;0.32;28.98;
3;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2b;0.67;5.0;31.69;28.36;26.45;0.31;0.34;0.02;0.62;34.21;
4;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;Restholz 1 unten;Restholz 1 unten;0.3;0.27;32.37;32.12;31.87;0.0;0.0;0.0;0.95;0.0;
5;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;Restholz 1 oben;Restholz 1 oben;17.97;11.03;17.89;10.78;0.0;0.11;0.13;0.0;0.0;5.62;
#Summe:;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;;;;;;;;0.9;1.0;;;89.26;
#
6;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2a;11.87;6.0;23.06;20.85;18.0;0.2;0.22;0.64;0.11;20.46;
7;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2a;5.77;6.0;26.39;24.8;23.12;0.28;0.31;0.35;0.32;28.98;
8;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2b;0.67;5.0;31.69;28.36;26.45;0.31;0.34;0.02;0.62;34.21;
