#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftlänge [m];Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
1;1;Buche;200;Buche_1_1;2010;32.0;29.0;L1;3a;0.3;3.5;32.16;30.18;28.68;0.24;0.26;0.0;0.75;16.08;
2;1;Buche;200;Buche_1_1;2010;32.0;29.0;L1;2b;3.9;6.0;28.6;26.63;24.76;0.33;0.34;0.0;0.4;16.27;
3;1;Buche;200;Buche_1_1;2010;32.0;29.0;L1;2a;10.0;6.0;24.69;22.5;19.8;0.23;0.25;0.0;0.16;11.57;
4;1;Buche;200;Buche_1_1;2010;32.0;29.0;L1;1b;16.1;6.0;19.7;16.39;12.44;0.12;0.14;0.0;0.03;6.23;
5;1;Buche;200;Buche_1_1;2010;32.0;29.0;L1;1a;22.2;3.0;12.3;10.04;7.57;0.02;0.03;0.0;0.01;1.15;
6;1;Buche;200;Buche_1_1;2010;32.0;29.0;Restholz 1;Restholz 1;25.3;3.7;7.4;3.95;0.0;0.01;0.01;0.0;0.0;0.28;
#Summe:;1;Buche;200;Buche_1_1;2010;32.0;29.0;;;;;;;;0.95;1.02;;;51.59;
#
7;2;Buche;200;Buche_2_2;2010;32.0;29.0;L1;3a;0.3;3.5;32.16;30.18;28.68;0.24;0.26;0.0;0.75;16.08;
8;2;Buche;200;Buche_2_2;2010;32.0;29.0;L1;2b;3.9;6.0;28.6;26.63;24.76;0.33;0.34;0.0;0.4;16.27;
9;2;Buche;200;Buche_2_2;2010;32.0;29.0;L1;2a;10.0;6.0;24.69;22.5;19.8;0.23;0.25;0.0;0.16;11.57;
10;2;Buche;200;Buche_2_2;2010;32.0;29.0;L1;1b;16.1;6.0;19.7;16.39;12.44;0.12;0.14;0.0;0.03;6.23;
11;2;Buche;200;Buche_2_2;2010;32.0;29.0;L1;1a;22.2;3.0;12.3;10.04;7.57;0.02;0.03;0.0;0.01;1.15;
