#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftlänge [m];Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
1;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2b;0.8;6.0;31.46;27.79;25.81;0.36;0.39;0.0;0.56;39.81;
2;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
3;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2a;13.0;4.5;22.3;20.53;18.39;0.14;0.16;0.0;0.12;14.76;
4;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;1b;17.6;3.5;18.29;16.35;14.17;0.07;0.08;0.0;0.05;5.21;
5;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
6;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.2;4.95;2.61;0.0;0.0;0.0;0.0;0.0;0.07;
#Summe:;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;;;;;;;;0.89;0.99;;;89.64;
#
7;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2b;0.8;6.0;31.46;27.79;25.81;0.36;0.39;0.0;0.56;39.81;
8;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
9;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2a;13.0;4.5;22.3;20.53;18.39;0.14;0.16;0.0;0.12;14.76;
10;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;1b;17.6;3.5;18.29;16.35;14.17;0.07;0.08;0.0;0.05;5.21;
11;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
12;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.2;4.95;2.61;0.0;0.0;0.0;0.0;0.0;0.07;
#Summe:;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;;;;;;;;0.89;0.99;;;89.64;
#
13;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;2b;0.8;6.0;31.46;27.79;25.81;0.36;0.39;0.0;0.56;39.81;
14;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
15;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;2a;13.0;4.5;22.3;20.53;18.39;0.14;0.16;0.0;0.12;14.76;
16;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;1b;17.6;3.5;18.29;16.35;14.17;0.07;0.08;0.0;0.05;5.21;
17;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
18;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.2;4.95;2.61;0.0;0.0;0.0;0.0;0.0;0.07;
#Summe:;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;;;;;;;;0.89;0.99;;;89.64;
#
19;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;2b;0.8;6.0;30.84;27.71;25.8;0.36;0.4;0.0;0.6;36.13;
20;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
21;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;2a;13.0;6.0;22.49;20.52;18.09;0.19;0.22;0.0;0.12;17.98;
22;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;1b;19.1;3.5;18.0;16.23;14.1;0.07;0.08;0.0;0.04;5.12;
23;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;L1;1a;22.7;4.5;13.97;10.38;5.42;0.04;0.04;0.0;0.0;1.9;
24;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;Restholz 1;Restholz 1;27.3;1.7;5.15;2.75;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;4;Tanne;101;Tanne_1_4;2010;32.0;29.0;;;;;;;;0.93;1.05;;;86.21;
#
25;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;L1;2b;0.8;6.0;30.84;27.71;25.8;0.36;0.4;0.0;0.6;36.13;
26;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
27;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;L1;2a;13.0;6.0;22.49;20.52;18.09;0.19;0.22;0.0;0.12;17.98;
28;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;L1;1b;19.1;3.5;18.0;16.23;14.1;0.07;0.08;0.0;0.04;5.12;
29;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;L1;1a;22.7;4.5;13.97;10.38;5.42;0.04;0.04;0.0;0.0;1.9;
30;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;Restholz 1;Restholz 1;27.3;1.7;5.15;2.75;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;5;Tanne;101;Tanne_2_5;2010;32.0;29.0;;;;;;;;0.93;1.05;;;86.21;
#
31;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;2b;0.8;6.0;31.46;27.79;25.81;0.36;0.39;0.0;0.56;39.81;
32;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
33;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;2a;13.0;4.5;22.3;20.53;18.39;0.14;0.16;0.0;0.12;14.76;
34;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;1b;17.6;3.5;18.29;16.35;14.17;0.07;0.08;0.0;0.05;5.21;
35;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
36;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.2;4.95;2.61;0.0;0.0;0.0;0.0;0.0;0.07;
#Summe:;6;Fichte;100;Fichte_1_6;2010;32.0;29.0;;;;;;;;0.89;0.99;;;89.64;
#
37;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;2b;0.8;6.0;31.46;27.79;25.81;0.36;0.39;0.0;0.56;39.81;
38;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
39;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;2a;13.0;4.5;22.3;20.53;18.39;0.14;0.16;0.0;0.12;14.76;
40;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;1b;17.6;3.5;18.29;16.35;14.17;0.07;0.08;0.0;0.05;5.21;
41;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
42;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.2;4.95;2.61;0.0;0.0;0.0;0.0;0.0;0.07;
#Summe:;7;Fichte;100;Fichte_2_7;2010;32.0;29.0;;;;;;;;0.89;0.99;;;89.64;
#
43;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;2b;0.8;6.0;31.46;27.79;25.81;0.36;0.39;0.0;0.56;39.81;
44;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
45;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;2a;13.0;4.5;22.3;20.53;18.39;0.14;0.16;0.0;0.12;14.76;
46;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;1b;17.6;3.5;18.29;16.35;14.17;0.07;0.08;0.0;0.05;5.21;
47;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;L1;1a;21.2;5.5;14.04;10.05;5.15;0.04;0.05;0.0;0.0;2.24;
48;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;Restholz 1;Restholz 1;26.8;2.2;4.95;2.61;0.0;0.0;0.0;0.0;0.0;0.07;
#Summe:;8;Fichte;100;Fichte_3_8;2010;32.0;29.0;;;;;;;;0.89;0.99;;;89.64;
#
49;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;2b;0.8;6.0;30.84;27.71;25.8;0.36;0.4;0.0;0.6;36.13;
50;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
51;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;2a;13.0;6.0;22.49;20.52;18.09;0.19;0.22;0.0;0.12;17.98;
52;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;1b;19.1;3.5;18.0;16.23;14.1;0.07;0.08;0.0;0.04;5.12;
53;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;L1;1a;22.7;4.5;13.97;10.38;5.42;0.04;0.04;0.0;0.0;1.9;
54;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;Restholz 1;Restholz 1;27.3;1.7;5.15;2.75;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;9;Tanne;101;Tanne_1_9;2010;32.0;29.0;;;;;;;;0.93;1.05;;;86.21;
#
55;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;2b;0.8;6.0;30.84;27.71;25.8;0.36;0.4;0.0;0.6;36.13;
56;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;2a;6.9;6.0;25.75;24.2;22.55;0.27;0.3;0.0;0.32;25.02;
57;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;2a;13.0;6.0;22.49;20.52;18.09;0.19;0.22;0.0;0.12;17.98;
58;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;1b;19.1;3.5;18.0;16.23;14.1;0.07;0.08;0.0;0.04;5.12;
59;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;L1;1a;22.7;4.5;13.97;10.38;5.42;0.04;0.04;0.0;0.0;1.9;
60;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;Restholz 1;Restholz 1;27.3;1.7;5.15;2.75;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;10;Tanne;101;Tanne_2_10;2010;32.0;29.0;;;;;;;;0.93;1.05;;;86.21;
#
61;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;2b;0.8;6.0;31.46;27.79;25.81;0.36;0.39;0.0;0.56;39.81;
62;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;2a;6.9;6.0;25.76;24.21;22.37;0.27;0.3;0.0;0.28;27.56;
63;11;Fichte;100;Fichte_1_11;2010;32.0;29.0;L1;2a;13.0;4.5;22.3;20.53;18.39;0.14;0.16;0.0;0.12;14.76;
