#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftlänge [m];Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
1;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2b;0.3;3.0;32.37;29.94;28.24;0.2;0.22;0.0;0.76;22.07;
2;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2b;3.4;3.0;28.14;26.95;26.03;0.16;0.18;0.0;0.58;17.72;
3;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2b;6.5;3.0;25.97;25.19;24.42;0.14;0.15;0.0;0.42;15.42;
4;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2a;9.6;3.0;24.37;23.53;22.58;0.12;0.14;0.0;0.29;12.59;
5;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;2a;12.7;3.0;22.51;21.4;20.13;0.1;0.11;0.0;0.18;10.44;
6;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;1b;15.8;3.0;20.04;18.59;16.98;0.08;0.09;0.0;0.09;5.68;
7;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;L1;1a;18.9;3.5;16.87;14.76;12.39;0.06;0.07;0.0;0.03;2.88;
8;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;Restholz 1;Restholz 1;22.5;0.0;12.25;12.25;12.25;0.0;0.0;0.0;0.03;0.0;
#Summe:;1;Fichte;100;Fichte_1_1;2010;32.0;29.0;;;;;;;;0.86;0.95;;;86.8;
#
9;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2b;0.3;3.0;32.37;29.94;28.24;0.2;0.22;0.0;0.76;22.07;
10;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2b;3.4;3.0;28.14;26.95;26.03;0.16;0.18;0.0;0.58;17.72;
11;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2b;6.5;3.0;25.97;25.19;24.42;0.14;0.15;0.0;0.42;15.42;
12;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2a;9.6;3.0;24.37;23.53;22.58;0.12;0.14;0.0;0.29;12.59;
13;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;2a;12.7;3.0;22.51;21.4;20.13;0.1;0.11;0.0;0.18;10.44;
14;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;1b;15.8;3.0;20.04;18.59;16.98;0.08;0.09;0.0;0.09;5.68;
15;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;L1;1a;18.9;3.5;16.87;14.76;12.39;0.06;0.07;0.0;0.03;2.88;
16;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;Restholz 1;Restholz 1;22.5;0.0;12.25;12.25;12.25;0.0;0.0;0.0;0.03;0.0;
#Summe:;2;Fichte;100;Fichte_2_2;2010;32.0;29.0;;;;;;;;0.86;0.95;;;86.8;
#
17;3;Fichte;100;Fichte_3_3;2010;32.0;29.0;L1;2b;0.3;3.0;32.37;29.94;28.24;0.2;0.22;0.0;0.76;22.07;
