#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Gruppierungsmerkmal;BHD [cm];Schaftlänge [m];Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge [m];Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
1;1;Fichte;100;1911_1;1911;78.8;38.0;L1;6;0.3;6.0;80.18;68.63;62.66;2.23;2.43;0.0;4.78;333.31;
2;1;Fichte;100;1911_1;1911;78.8;38.0;L1;6;6.4;4.5;62.53;60.08;58.33;1.23;1.35;0.0;3.47;183.7;
3;1;Fichte;100;1911_1;1911;78.8;38.0;L1;5;11.0;6.0;58.26;55.98;52.95;1.43;1.58;0.0;1.97;205.13;
4;1;Fichte;100;1911_1;1911;78.8;38.0;L1;5;17.1;4.0;52.83;50.14;46.9;0.75;0.85;0.0;1.16;108.26;
5;1;Fichte;100;1911_1;1911;78.8;38.0;L1;4;21.2;6.0;46.72;40.8;33.81;0.77;0.88;0.0;0.36;96.9;
6;1;Fichte;100;1911_1;1911;78.8;38.0;L1;2b;27.3;5.5;33.56;26.29;18.24;0.3;0.35;0.0;0.05;32.84;
7;1;Fichte;100;1911_1;1911;78.8;38.0;L1;1a;32.9;4.5;17.93;10.6;2.39;0.05;0.06;0.0;0.0;2.28;
8;1;Fichte;100;1911_1;1911;78.8;38.0;Restholz 1;Restholz 1;37.5;0.5;1.99;1.01;0.0;0.0;0.0;0.0;0.0;0.0;
#Summe:;1;Fichte;100;1911_1;1911;78.8;38.0;;;;;;;;6.75;7.49;;;962.43;
#
9;2;Fichte;100;1911_2;1911;58.0;35.0;L1;5;0.3;6.0;58.92;50.73;46.57;1.22;1.33;0.0;2.39;174.86;
10;2;Fichte;100;1911_2;1911;58.0;35.0;L1;4;6.4;6.0;46.47;44.17;42.2;0.89;0.98;0.0;1.45;113.11;
11;2;Fichte;100;1911_2;1911;58.0;35.0;L1;4;12.5;5.0;42.13;40.11;37.47;0.61;0.68;0.0;0.8;76.78;
12;2;Fichte;100;1911_2;1911;58.0;35.0;L1;3b;17.6;3.5;37.35;35.08;32.47;0.32;0.36;0.0;0.45;38.26;
13;2;Fichte;100;1911_2;1911;58.0;35.0;L1;2b;21.2;6.0;32.31;27.07;20.97;0.34;0.39;0.0;0.1;37.37;
14;2;Fichte;100;1911_2;1911;58.0;35.0;L1;1a;27.3;6.0;20.75;13.71;5.46;0.09;0.11;0.0;0.0;4.73;
15;2;Fichte;100;1911_2;1911;58.0;35.0;Restholz 1;Restholz 1;33.4;1.6;5.16;2.65;0.0;0.0;0.0;0.0;0.0;0.06;
#Summe:;2;Fichte;100;1911_2;1911;58.0;35.0;;;;;;;;3.47;3.86;;;445.17;
#
16;3;Fichte;100;1911_3;1911;47.1;33.0;L1;4;0.3;6.0;47.78;41.32;38.04;0.81;0.88;0.0;1.48;101.95;
17;3;Fichte;100;1911_3;1911;47.1;33.0;L1;3b;6.4;6.0;37.96;36.01;34.16;0.59;0.65;0.0;0.85;70.65;
18;3;Fichte;100;1911_3;1911;47.1;33.0;L1;3a;12.5;6.0;34.09;31.66;28.41;0.46;0.51;0.0;0.37;53.21;
19;3;Fichte;100;1911_3;1911;47.1;33.0;L1;2b;18.6;4.5;28.29;25.27;21.81;0.22;0.25;0.0;0.14;24.01;
20;3;Fichte;100;1911_3;1911;47.1;33.0;L1;1b;23.2;4.0;21.64;18.16;14.31;0.1;0.12;0.0;0.03;7.48;
21;3;Fichte;100;1911_3;1911;47.1;33.0;L1;1a;27.3;3.5;14.1;10.34;6.13;0.03;0.04;0.0;0.0;1.49;
22;3;Fichte;100;1911_3;1911;47.1;33.0;Restholz 1;Restholz 1;30.9;2.1;5.88;3.06;0.0;0.0;0.0;0.0;0.0;0.1;
#Summe:;3;Fichte;100;1911_3;1911;47.1;33.0;;;;;;;;2.21;2.45;;;258.88;
#
